ID,SKU,IMAGE,PRICE,TITLE,HANDLE,CPU,GPU,RAM,STORAGE,COOLER,MOTHERBOARD,CASE,PSU,INVENTORY,COMPARE PRICE,TYPE,CATEGORY,USECASE,form_factor,persona_tags,style_tags,strengths,target_resolution,score_res_1080p,score_res_1440p,score_res_1440p_heavy,score_res_4k_light,score_res_4k_heavy,score_game_fortnite,score_game_gta_v,score_game_cod,score_game_diablo,score_game_starfield,score_game_league,score_game_sim_racing,score_game_flight_sim,score_game_cyberpunk,score_game_apex,score_game_valorant,score_game_bg3,score_work_documents,score_work_creative,score_work_coding,score_work_3d,score_study_assignments,score_study_online_classes,score_study_creative_software,score_study_stem,score_essentials_browsing,score_essentials_streaming,score_essentials_office_apps,score_essentials_light_gaming
RTS_27,RTS-AU-LVL-7-FLOW-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/black_9b3e3940-451c-4fec-b333-4767fca6245a.png?v=1750898857,2199,FLOW : LVL 7,https://aftershockpc.com.au/products/flow-lvl-7-u5-245kf-rtx-5070,Intel Core Ultra 5 245KF | 5.2 GHz | 14 Cores 14 Threads,Gigabyte RTX 5070 Windforce OC - 12GB,32GB Silicon Power XPOWER Storm 6000MHz RGB C36 (2x16GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),DeepCool AK400 - Black,Gigabyte B860M Eagle Wi-Fi 6E - DDR5,Deepcool CH370 Micro ATX/Mini-ITX Chassis Black,650W Inwin B65E 80+ Bronze,9,3000,Desktop,RTS,Gaming,Desktop,"[""Engineering Student""]","[""Compact"", ""RGB Showcase""]","[""compact-form-factor""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,6,6,5,6,7,7,6,6,6,5,6,7,10,6,7,10,10,10,10
RTS_28,RTS-AU-LVL-8-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/FLOW_1f118c42-e3a8-4bc4-95e9-030e6b26d0a2.webp?v=1754031805,3295,FLOW ICE : LVL 8 PRO,https://aftershockpc.com.au/products/flow-ice-lvl-8-pro-r7-7700-rtx-5070-ti,AMD Ryzen 7 7700 | 5.3 GHz | 8 Cores 16 Threads,Gigabyte RTX 5070Ti Eagle Ice - 16GB,32GB Silicon Power XPOWER Storm 6000MHz RGB C36 (2x16GB) - White,2TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6500MBs),Aftershock Glacier Mirror 360mm - White,Gigabyte B650M Gaming Plus Wi-Fi - DDR5,Gigabyte C102 Glass - Ice,850W Inwin P85II 80+ Gold,5,3800,Desktop,RTS,Gaming,Desktop,"[""Home Office"", ""Engineering Student""]","[""Premium Aesthetic"", ""RGB Showcase"", ""White Build""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,7,7,6,6,8,8,6,7,6,6,6,8,10,7,7,10,10,10,10
RTS_29,WS-RTS-DESPRO-U-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/DESIGNPRO_504f02b9-3741-4f81-afab-70bcbb9a7a4b.jpg?v=1751192213,4499,FOCUS : DESIGN PRO,https://aftershockpc.com.au/products/focus-design-pro-ultra-9-285k-rtx-4070ti-super,Intel Core Ultra 9 285K | 5.7 GHz | 24 Cores 24 Threads, Asus RTX 4070Ti Super ProArt OC - 16GB,64GB Crucial Pro 5600MHz (2x32GB),2TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6500MBs),Aftershock Glacier Mirror 360mm,Asus Prime Z890-P CSM - DDR5,Fractal Design North Chalk White,850W Inwin P85II 80+ Gold,1,4800,Desktop,RTS,Workstation,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""Engineering Student""]","[""Premium Aesthetic"", ""Minimalist"", ""White Build""]","[""best-for-creative-workflows""]","[""1080p"", ""1440p""]",8,7,5,4,3,8,7,8,7,8,9,8,8,7,9,10,7,9,8,9,8,9,10,8,9,10,10,10,10
RTS_30,WS-RTS-4000ADA-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/FocusModellingMax_648ab57e-89cf-4129-8914-9d3fd7fde1ba.png?v=1754274321,5095,FOCUS : MODELLING MAX,https://aftershockpc.com.au/products/focus-modelling-max-ultra-9-285k-rtx-4000-ada-1,Intel Core Ultra 9 285K | 5.7 GHz | 24 Cores 24 Threads,Nvidia RTX 4000 ADA - 20GB GDDR6,64GB Crucial Pro 5600MHz (2x32GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),EVGA CLC 280mm Radiator,Asus Prime Z890M-PLUS CSM - DDR5,Fractal Design Meshify 2 Mini Black TG - Dark Tint,650W MSI A650BN 80+ Bronze,1,5800,Desktop,RTS,Workstation,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""Compact"", ""High Airflow""]","[""excellent-1440p-performance"", ""compact-form-factor"", ""future-proof-specs"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,9,7,6,5,9,9,9,9,9,10,9,9,9,10,10,9,9,9,9,9,9,10,9,9,10,10,10,10
RTS_31,GAMING A16 CMHI2AU894SH,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/GGB_A16.jpg?v=1754376149,1499,"Gigabyte A16 CMH 16""",https://aftershockpc.com.au/products/gigabyte-a16-cmh-16-i7-13620h-rtx-4050,Intel Core i7-13620H Processor | 4.9 GHz | 10 Cores 16 Threads,Nvidia Geforce RTX 4050 6GB GDDR6,16GB (2x8GB) DDR5 5200MHz,1TB M.2 NVMe PCIe 4.0 SSD,,,,76Whr Battery,10,1799,Laptop,RTS,Gaming,Laptop,"[""Student"", ""Budget-Conscious"", ""Light Gamer""]","[""Minimalist""]","[""light-gaming-ready"", ""budget-friendly""]",[],4,3,2,2,1,4,3,4,3,3,4,3,3,3,4,4,3,4,4,3,3,5,10,4,5,10,10,10,6
RTS_32,GIGABYTE AERO X16 2WHA3AUC64DP,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/AEROX16_9ae1bd96-bee7-4efd-a8c6-45925819ad41.jpg?v=1754372629,2999,"Gigabyte AERO X16 Gray 16""",https://aftershockpc.com.au/products/gigabyte-aero-x16-gray-16-ryzen-ai-9-hx-370-rtx-5070,AMD Ryzen AI 9 HX 370 Processor | 5.1 GHz | 12 Cores 24 Threads,Nvidia Geforce RTX 5070 8GB GDDR7,32GB (2x16GB) DDR5 5600MHz,1TB M.2 NVMe PCIe 4.0 SSD,,,,76Whr Battery,1,3499,Laptop,RTS,Gaming,Laptop,"[""1440p Gamer""]","[""Minimalist""]","[""excellent-1440p-performance""]","[""1080p""]",7,5,4,4,2,6,5,6,6,5,5,5,4,6,6,6,5,5,5,4,5,6,10,6,5,10,10,10,10
RTS_33,GIGABYTE AERO X16 1WH93AUC94DH,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/AEROX16_9ae1bd96-bee7-4efd-a8c6-45925819ad41.jpg?v=1754372629,2699,"Gigabyte AERO X16 White 16""",https://aftershockpc.com.au/products/gigabyte-aero-x16-white-16-ryzen-ai-7-350-rtx-5070,AMD Ryzen AI 7 350 Processor | 5 GHz | 8 Cores 16 Threads,Nvidia Geforce RTX 5070 8GB GDDR7,16GB (1x16GB) DDR5 5600MHz,1TB M.2 NVMe PCIe 4.0 SSD,,,,76Whr Battery,3,3299,Laptop,RTS,Gaming,Laptop,"[""1440p Gamer""]","[""White Build""]","[""excellent-1440p-performance""]","[""1080p""]",7,5,4,4,2,6,5,6,6,5,5,5,4,6,6,6,5,4,5,3,5,5,10,5,5,10,10,10,10
RTS_34,AORUS MASTER 16 BYHC5AUE64SP,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/AORUSMASTER16_651d1cf4-8cb6-4db1-8451-00b097c666a5.jpg?v=1754292732,5199,Gigabyte AORUS Master 16 BYH,https://aftershockpc.com.au/products/gigabyte-aorus-master-16-byh-ultra-9-275hx-rtx-5080,Intel Core Ultra 9 275HX Processor | 5.4 GHz | 24 Cores 24 Threads,Nvidia Geforce RTX 5080 16GB GDDR7,32GB (2x16GB) DDR5 5600MHz,1TB M.2 NVMe PCIe 4.0 SSD,,,,99Whr Battery,1,6499,Laptop,RTS,Gaming,Laptop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""Engineering Student""]","[""Premium Aesthetic""]","[""future-proof-specs"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",9,7,6,5,4,9,9,9,9,9,10,9,9,9,10,10,9,8,8,8,9,9,10,9,9,10,10,10,10
RTS_35,AORUS MASTER 16 BZHC6AUE64SP,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/AORUSMASTER16_912dcfb6-4439-4f15-9cc6-fb9a0021686f.jpg?v=1754292848,6999,Gigabyte AORUS Master 16 BZH,https://aftershockpc.com.au/products/gigabyte-aorus-master-16-bzh-ultra-9-275hx-rtx-5090,Intel Core Ultra 9 275HX Processor | 5.4 GHz | 24 Cores 24 Threads,Nvidia Geforce RTX 5090 24GB GDDR7,32GB (2x16GB) DDR5 5600MHz,1TB M.2 NVMe PCIe 4.0 SSD,,,,99Whr Battery,1,8999,Laptop,RTS,Gaming,Laptop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""Engineering Student""]","[""Premium Aesthetic""]","[""excellent-1440p-performance"", ""future-proof-specs"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,8,6,5,5,10,9,10,9,9,10,10,9,9,10,10,9,8,9,8,9,9,10,9,9,10,10,10,10
RTS_36,AORUS MASTER 18 BZHC6AUD45SP,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/Artboard1copy_624821de-a00f-434f-98c3-db42cb20c3c7.png?v=1753149474,7999,Gigabyte AORUS Master 18 BZH,https://aftershockpc.com.au/products/gigabyte-aorus-master-18-bzh-ultra-9-275hx-rtx-5090,Intel Core Ultra 9 275HX Processor | 5.4 GHz | 24 Cores 24 Threads,Nvidia Geforce RTX 5090 24GB GDDR7,64GB (2x32GB) DDR5 5600MHz,1TB M.2 NVMe PCIe 4.0 SSD,,,,99Whr Battery,1,9999,Laptop,RTS,Gaming,Laptop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""Engineering Student""]","[""Premium Aesthetic""]","[""excellent-1440p-performance"", ""future-proof-specs"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,8,6,5,5,10,9,10,9,9,10,10,9,9,10,10,9,9,9,9,9,9,10,9,9,10,10,10,10
RTS_37,RTS-AU-GUARDIAN-LVL-10-PRO,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/LianLiOdysseyX-White.png?v=1751019754,7899,GUARDIAN : LVL 10 PRO,https://aftershockpc.com.au/products/guardian-lvl-10-pro-r7-9800x3d-rtx-5090,AMD Ryzen 7 9800X3D | 5.2 GHz | 8 Cores 16 Threads,Zotac RTX 5090 Solid OC - 32GB - White,64GB Silicon Power XPOWER Storm 6000MHz RGB CL38 (2x32GB) - White,2TB Gen5 Samsung 9100 PRO M.2. NVME (R 14700MBs | W 13400MBs)   w/ Heatsink,Aftershock Glacier Mirror 360mm - White,Gigabyte X870 Aorus Elite Ice Wi-Fi 7 - DDR5,Lian Li ODYSSEY X - White,1000W XPG Cybercore II 80+ Platinum - Modular PCIe 5.0,2,10000,Desktop,RTS,Gaming,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""Premium Aesthetic"", ""RGB Showcase"", ""White Build""]","[""excellent-1440p-performance"", ""best-for-creative-workflows"", ""4k-capable""]","[""1080p"", ""1440p""]",10,10,8,7,6,10,9,10,9,9,10,10,8,9,10,10,9,9,9,8,9,9,10,9,8,10,10,10,10
RTS_38,9T0B6PC,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/HP645G10_0c03d747-81de-4ccc-a94c-e8e762b0f56a.jpg?v=1754273562,949,"HP EliteBook 645 G10 14""",https://aftershockpc.com.au/products/hp-elitebook-645-g10-14-r5-7530u-amd-radeon,AMD Ryzen 5 7530U Processor | 4.5 GHz | 6 Cores 12 Threads,AMD Radeon Integrated Graphics,16GB (2x8GB) DDR4 3200MHz,256GB M.2 NVMe PCIe SSD,,,,42.75 Whr Battery,3,1299,Laptop,RTS,Gaming,Laptop,"[""Student"", ""Budget-Conscious""]","[""Premium Aesthetic""]","[""budget-friendly""]",[],2,1,1,1,1,2,2,2,2,2,3,2,2,2,2,3,2,4,3,3,2,5,10,3,5,10,10,10,3
RTS_39,RTS-AU-LVL-10-WH-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/HYPERGATEAIRLVL10PROWH.jpg?v=1754467180,7995,HYPERGATE : LVL 10 PRO,https://aftershockpc.com.au/products/hypergate-lvl-10-pro-r7-9800x3d-rtx-5091,AMD Ryzen 7 9800X3D | 5.2 GHz | 8 Cores 16 Threads,Zotac RTX 5090 Solid OC - 32GB - White,64GB Silicon Power XPOWER Storm 6000MHz RGB CL30 (2x32GB) - White,2TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6500MBs),Aftershock Glacier Mirror 360mm - White,Gigabyte X870 Aorus Elite Ice Wi-Fi 7 - DDR5,NZXT H7 Flow (Mesh Front) - White 2024 Edition,1050W Inwin 80+ Platinum - Modular - PCIe 5.0,5,8700,Desktop,RTS,Gaming,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""High Airflow"", ""Premium Aesthetic"", ""RGB Showcase""]","[""excellent-1440p-performance"", ""best-for-creative-workflows"", ""4k-capable""]","[""1080p"", ""1440p""]",10,10,8,7,6,10,9,10,9,9,10,10,8,9,10,10,9,9,9,8,9,9,10,9,8,10,10,10,10
RTS_40,MPC-IEM-CHAMBER,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/DSC01373.png?v=1752204115,1899,IEM CHAMBER,https://aftershockpc.com.au/products/iem-chamber-ultra-5-245kf-arc-b580,Intel Core Ultra 5 245KF | 5.2 GHz | 14 Cores 14 Threads,ASRock Arc B580 Challenger OC - 12GB,32GB Lexar Thor RGB 6000MHz (2x16GB),1TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock Glacier Mirror 360mm,Gigabyte B860M Eagle Wi-Fi 6E - DDR5,Aftershock Chamber - Black,650W Inwin B65E 80+ Bronze,1,2299,Desktop,RTS,Gaming,Desktop,"[""Engineering Student""]","[""RGB Showcase""]","[""excellent-1440p-performance""]",[],2,2,1,1,1,3,3,2,2,3,4,3,3,2,3,4,3,6,4,5,3,7,10,4,7,10,10,10,3
RTS_41,RTS-SR-LVL-7-YLW-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/MELLOW_78ec4c96-a0fd-45a9-a34d-acb323a75c19.webp?v=1751443978,1995,MELLOW YELLOW,https://aftershockpc.com.au/products/zeal-mini-lvl-7-yellow-r5-7400f-rtx-5070-v1,AMD Ryzen 5 7400F | 4.7GHz | 6 Cores 12 Threads,Zotac RTX 5070 AMP Extreme 12GB - White,32GB Lexar Thor RGB 6000MHz (2x16GB) - White,1TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - White,Gigabyte B650M Gaming Wi-Fi - DDR5,Aftershock Zeal M - Yellow,650W Gigabyte P650SS 80+ Silver-White,24,2700,Desktop,RTS,Gaming,Desktop,"[""1440p Gamer""]","[""RGB Showcase""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,6,5,7,6,5,6,6,5,6,7,7,5,6,6,5,5,7,10,6,6,10,10,10,10
RTS_42,RTS-MC-AXL-LVL-5,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/AxySelector.webp?v=1752825584,1795,MINECRAFT : AXOLOTL,https://aftershockpc.com.au/products/axolotl-lvl-5-r5-7400f-rtx-5060-ti-8gb,AMD Ryzen 5 7400F | 4.7GHz | 6 Cores 12 Threads,Zotac RTX 5060Ti Twin Edge - 8GB,16GB Team T-Force Delta RGB 6000MHz (2x8GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - Black,Gigabyte B650M Gaming Wi-Fi - DDR5,Minecraft Axolotl Chassis,650W Gigabyte P650SS 80+ Silver,25,2200,Desktop,RTS,Gaming,Desktop,"[""Light Gamer""]","[""RGB Showcase""]","[""excellent-1440p-performance""]",[],6,5,4,3,2,5,4,5,4,4,5,5,4,4,5,5,4,5,4,4,4,6,10,5,5,10,10,10,7
RTS_43,RTS-MC-CBLSTN-LVL-5,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/CobSelector.webp?v=1752826677,1795,MINECRAFT : COBBLESTONE,https://aftershockpc.com.au/products/cobblestone-lvl-5-r5-7400f-rtx-5060-ti-8gb,AMD Ryzen 5 7400F | 4.7GHz | 6 Cores 12 Threads,Zotac RTX 5060Ti Twin Edge - 8GB,16GB Team T-Force Delta RGB 6000MHz (2x8GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - Black,Gigabyte B650M Gaming Wi-Fi - DDR5,Minecraft Cobblestone Chassis,650W Gigabyte P650SS 80+ Silver,27,2200,Desktop,RTS,Gaming,Desktop,"[""Light Gamer""]","[""RGB Showcase""]","[""excellent-1440p-performance""]",[],6,5,4,3,2,5,4,5,4,4,5,5,4,4,5,5,4,5,4,4,4,6,10,5,5,10,10,10,7
RTS_44,RTS-MC-ENDER-LVL-5,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/EnderDragonSelector.webp?v=1752826750,1795,MINECRAFT : ENDER DRAGON,https://aftershockpc.com.au/products/ender-dragon-lvl-5-r5-7400f-rtx-5060-ti-8gb,AMD Ryzen 5 7400F | 4.7GHz | 6 Cores 12 Threads,Zotac RTX 5060Ti Twin Edge - 8GB,16GB Team T-Force Delta RGB 6000MHz (2x8GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - Black,Gigabyte B650M Gaming Wi-Fi - DDR5,Minecraft Ender Dragon Chassis,650W Gigabyte P650SS 80+ Silver,27,2200,Desktop,RTS,Gaming,Desktop,"[""Light Gamer""]","[""RGB Showcase""]","[""excellent-1440p-performance""]",[],6,5,4,3,2,5,4,5,4,4,5,5,4,4,5,5,4,5,4,4,4,6,10,5,5,10,10,10,7
RTS_45,RTS-MC-GRASS-LVL-5,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/DirtSelector.webp?v=1753676938,1795,MINECRAFT : GRASS BLOCK,https://aftershockpc.com.au/products/grass-block-lvl-5-r5-7400f-rtx-5060-ti-8gb,AMD Ryzen 5 7400F | 4.7GHz | 6 Cores 12 Threads,Zotac RTX 5060Ti Twin Edge - 8GB,16GB Team T-Force Delta RGB 6000MHz (2x8GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - Black,Gigabyte B650M Gaming Wi-Fi - DDR5,Minecraft Grass Block Chassis,650W Gigabyte P650SS 80+ Silver,27,2200,Desktop,RTS,Gaming,Desktop,"[""Light Gamer""]","[""RGB Showcase""]","[""excellent-1440p-performance""]",[],6,5,4,3,2,5,4,5,4,4,5,5,4,4,5,5,4,5,4,4,4,6,10,5,5,10,10,10,7
RTS_46,RTS-MC-OBDN-LVL-5,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/ObsSelector.webp?v=1752826832,1795,MINECRAFT : OBSIDIAN,https://aftershockpc.com.au/products/obsidian-lvl-5-r5-7400f-rtx-5060-ti-8gb,AMD Ryzen 5 7400F | 4.7GHz | 6 Cores 12 Threads,Zotac RTX 5060Ti Twin Edge - 8GB,16GB Team T-Force Delta RGB 6000MHz (2x8GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - Black,Gigabyte B650M Gaming Wi-Fi - DDR5,Deepcool Macube 110 - White,650W Gigabyte P650SS 80+ Silver,25,2200,Desktop,RTS,Gaming,Desktop,"[""Light Gamer""]","[""RGB Showcase"", ""White Build""]","[""excellent-1440p-performance""]",[],6,5,4,3,2,5,4,5,4,4,5,5,4,4,5,5,4,5,4,4,4,6,10,5,5,10,10,10,7
RTS_47,RTS-SR-LVL-7-GRN-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/GREEN_8b4bef90-0745-49a0-b099-8b3e541dbf06.webp?v=1751443960,1995,MINT GREEN,https://aftershockpc.com.au/products/zeal-mini-lvl-7-green-r5-7400f-rtx-5070-v1,AMD Ryzen 5 7400F | 4.7GHz | 6 Cores 12 Threads,Zotac RTX 5070 Solid OC - 12GB,32GB Lexar Thor RGB 6000MHz (2x16GB),1TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - Black,Gigabyte B650M Gaming Wi-Fi - DDR5,Aftershock Zeal M - Green,650W Gigabyte P650SS 80+ Silver,5,2700,Desktop,RTS,Gaming,Desktop,"[""1440p Gamer""]","[""RGB Showcase""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,6,5,7,6,5,6,6,5,6,7,7,5,6,6,5,5,7,10,6,6,10,10,10,10
RTS_48,RTS-SR-NIMBUS-LVL-8-P1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/NIMBUSLVL9PRO_782ab628-09be-4554-a405-4df4702d36ce.jpg?v=1754293977,3595,NIMBUS : LVL 8 MAX,https://aftershockpc.com.au/products/nimbus-lvl-8-pro-r7-7800x3d-rtx-5070-ti,AMD Ryzen 7 7800X3D | 5.0 GHz | 8 Cores 16 Threads,Zotac RTX 5070Ti Solid Core OC - 16GB,32GB Lexar Thor RGB 6000MHz (2x16GB),2TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock Glacier Mirror 360mm,Gigabyte B650 Eagle AX - DDR5,Aftershock Nimbus,850W Antec GSK 80+ Gold - Modular,41,4200,Desktop,RTS,Gaming,Desktop,"[""Software Developer"", ""Home Office"", ""Engineering Student""]","[""RGB Showcase""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,8,7,7,7,7,9,8,7,7,8,9,7,8,7,8,7,9,10,8,8,10,10,10,10
RTS_49,RTS-AU-LVL-8-NIMB-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/PJ-131774-1-1np.png?v=1751191723,3195,NIMBUS : LVL 8 PRO,https://aftershockpc.com.au/products/nimbus-lvl-8-pro-r7-7700-rtx-5070-ti,AMD Ryzen 7 7700 | 5.3 GHz | 8 Cores 16 Threads,Zotac RTX 5070Ti Solid OC - 16GB,32GB Adata XPG Lancer RGB 6000MHz CL36 DDR5 (2x16GB) - Black,1TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - Black,Gigabyte B650 Eagle AX - DDR5,Aftershock Nimbus,750W Inwin PFII 80+ Gold,1,3700,Desktop,RTS,Gaming,Desktop,"[""Home Office"", ""Engineering Student""]","[""RGB Showcase"", ""Premium Aesthetic""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,7,7,6,6,8,8,6,7,6,6,6,8,10,7,7,10,10,10,10
RTS_50,RTS-AU-PANO-LVL-7-PRO-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/PANOLVL7MAX_1.jpg?v=1754273199,2795,PANO : LVL 7 MAX,https://aftershockpc.com.au/products/pano-lvl-7-max-ultra-7-265kf-rtx-5070,Intel Core Ultra 7 265KF | 20 Cores 20 Threads,MSI RTX 5070 12G Shadow 2X OC - 12GB,32GB Kingston Fury Beast RGB 6000MHz (2x16GB) CL36,1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),MSI MAG A13 Core Liquid 240mm Radiator,MSI B860M-A Pro Wi-Fi - DDR5,MSI MAG Pano M100R PZ - Black,650W MSI A650BN 80+ Bronze,10,3200,Desktop,RTS,Gaming,Desktop,"[""Software Developer"", ""Home Office"", ""Engineering Student""]","[""RGB Showcase""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,7,7,7,7,8,7,7,7,8,9,7,7,7,7,7,8,10,7,8,10,10,10,10
RTS_51,RTS-AU-PANO-LVL-9-MSI,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/PANOLVL9_cb540d80-557d-4cb2-9cb3-89395781950a.jpg?v=1754273325,4395,PANO : LVL 9,https://aftershockpc.com.au/products/pano-lvl-9-ultra-7-265kf-rtx-5080,Intel Core Ultra 7 265KF | 5.5 GHz | 20 Cores 20 Threads,MSI RTX 5080 Ventus 3X OC Plus - 16GB,32GB Kingston Fury Beast RGB 6000MHz (2x16GB) CL36,2TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6500MBs),MSI MAG A13 Core Liquid 240mm Radiator,MSI B860M-A Pro Wi-Fi - DDR5,MSI MAG Pano M100R PZ - Black,1000W MSI 80+ Gold - Modular MAG A1000GL - PCIe 5.0,5,5000,Desktop,RTS,Gaming,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""RGB Showcase""]","[""excellent-1440p-performance"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,9,7,6,5,9,8,9,8,8,9,9,7,8,10,10,8,7,8,7,8,8,10,8,8,10,10,10,10
RTS_52,RTS-AU-LVL-9-M2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/PANORAMALVL9PROBL_ed91de59-1d0c-41b1-998a-65ae678d25b1.png?v=1751191782,6295,PANORAMA : LVL 9 PRO,https://aftershockpc.com.au/products/panorama-lvl-9-pro-r7-9800x3d-rtx-5082,AMD Ryzen 7 9800X3D | 5.2 GHz | 8 Cores 16 Threads,Gigabyte RTX 5080 Gaming OC - 16GB,64GB G.Skill Trident Z5 RGB 6000MHz CL30 (2x32GB),2TB Gen4 Kingston KC3000 M.2. NVME (R 7000MBs [!p] W 7000MBs),Aftershock Glacier Mirror 360mm,Gigabyte X870 Aorus Elite Wi-Fi 7 - DDR5,NZXT H9 Flow - Black,1000W MSI 80+ Gold - Modular MAG A1000GL - PCIe 5.0,1,6500,Desktop,RTS,Gaming,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""High Airflow"", ""RGB Showcase"", ""Premium Aesthetic""]","[""excellent-1440p-performance"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,9,7,6,5,9,8,9,8,8,10,9,8,8,10,10,8,9,8,8,8,9,10,8,8,10,10,10,10
RTS_53,MPC-MOTO-PAPAYA,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/DSC00208_f7f0519c-cc57-49cc-97dc-05b45983b140.png?v=1752225538,2189,PAPAYA,https://aftershockpc.com.au/products/papaya-r7-7700-rtx-4070,AMD Ryzen 7 7700 | 5.3 GHz | 8 Cores 16 Threads,Gigabyte RTX 4070 Windforce OC - 12GB,32GB Lexar Thor RGB 6000MHz (2x16GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock Glacier Mirror 360mm,Gigabyte B650M Gaming Wi-Fi - DDR5,Papaya Chassis,650W MSI A650BN 80+ Bronze,1,2599,Desktop,RTS,Gaming,Desktop,"[""Home Office"", ""Engineering Student""]","[""RGB Showcase""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,7,7,6,6,8,8,6,7,6,6,6,8,10,7,7,10,10,10,10
